"future","playerID","firstName","lastName","name","team","logo","playerURL","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Most Improved Player","5896","Brandon","Miller","Brandon Miller","CHA","https://content.rotowire.com/images/teamlogo/basketball/100CHA.png?v=7","/betting/nba/player/brandon-miller-odds-5896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6000","0.0",60,"1.0","1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","6000","0.0",60,NA,"1,200.00",2025-10-28
"Most Improved Player","4773","Kevin","Porter","Kevin Porter","MIL","https://content.rotowire.com/images/teamlogo/basketball/100MIL.png?v=7","/betting/nba/player/kevin-porter-odds-4773",NA,NA,NA,NA,NA,NA,NA,NA,"6000","0.0",60,"1.1","1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6000","0.0",60,"1.2","1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","6000","0.0",60,NA,"1,200.00",2025-10-28
"Most Improved Player","6264","Kyle","Filipowski","Kyle Filipowski","UTA","https://content.rotowire.com/images/teamlogo/basketball/100UTA.png?v=7","/betting/nba/player/kyle-filipowski-odds-6264","6500","0.0",65,"1.0","1,300.00",NA,NA,NA,"6000","0.0",60,"1.1","1,200.00",NA,NA,NA,"6000","0.0",60,"1.0","1,200.00",NA,NA,NA,"6600","0.0",66,"1.1","1,320.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","6600","0.0",66,NA,"1,320.00",2025-10-28
"Most Improved Player","6278","Terrence","Shannon","Terrence Shannon","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=7","/betting/nba/player/terrence-shannon-odds-6278","7000","0.0",70,"0.9","1,400.00",NA,NA,NA,"6000","0.0",60,"1.1","1,200.00",NA,NA,NA,"6000","0.0",60,"1.0","1,200.00",NA,NA,NA,"6000","0.0",60,"1.2","1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","7000","0.0",70,NA,"1,400.00",2025-10-28
"Most Improved Player","5987","Toumani","Camara","Toumani Camara","POR","https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=7","/betting/nba/player/toumani-camara-odds-5987","7000","0.0",70,"0.9","1,400.00",NA,NA,NA,"7500","0.0",75,"0.9","1,500.00",NA,NA,NA,"7500","0.0",75,"0.8","1,500.00",NA,NA,NA,"6600","0.0",66,"1.1","1,320.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","7500","0.0",75,NA,"1,500.00",2025-10-28
"Most Improved Player","5354","Davion","Mitchell","Davion Mitchell","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=7","/betting/nba/player/davion-mitchell-odds-5354","7000","0.0",70,"0.9","1,400.00",NA,NA,NA,"6000","0.0",60,"1.1","1,200.00",NA,NA,NA,"7500","0.0",75,"0.8","1,500.00",NA,NA,NA,"5000","0.0",50,"1.4","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","7500","0.0",75,NA,"1,500.00",2025-10-28
"Most Improved Player","5401","Trey","Murphy","Trey Murphy","NOP","https://content.rotowire.com/images/teamlogo/basketball/100NOP.png?v=7","/betting/nba/player/trey-murphy-odds-5401",NA,NA,NA,NA,NA,NA,NA,NA,"5000","0.0",50,"1.3","1,000.00",NA,NA,NA,"7500","0.0",75,"0.8","1,500.00",NA,NA,NA,"4000","0.0",40,"1.8","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","7500","0.0",75,NA,"1,500.00",2025-10-28
"Most Improved Player","5333","Neemias","Queta","Neemias Queta","BOS","https://content.rotowire.com/images/teamlogo/basketball/100BOS.png?v=7","/betting/nba/player/neemias-queta-odds-5333","6000","0.0",60,"1.0","1,200.00",NA,NA,NA,"7500","0.0",75,"0.9","1,500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6600","0.0",66,"1.1","1,320.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","7500","0.0",75,NA,"1,500.00",2025-10-28
"Most Improved Player","5643","Jabari","Smith","Jabari Smith","HOU","https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=7","/betting/nba/player/jabari-smith-odds-5643","7500","0.0",75,"0.8","1,500.00",NA,NA,NA,"6000","0.0",60,"1.1","1,200.00",NA,NA,NA,"5000","0.0",50,"1.2","1,000.00",NA,NA,NA,"5000","0.0",50,"1.4","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","7500","0.0",75,NA,"1,500.00",2025-10-28
"Most Improved Player","5899","Keyonte","George","Keyonte George","UTA","https://content.rotowire.com/images/teamlogo/basketball/100UTA.png?v=7","/betting/nba/player/keyonte-george-odds-5899","8000","0.0",80,"0.8","1,600.00",NA,NA,NA,"7500","0.0",75,"0.9","1,500.00",NA,NA,NA,"7500","0.0",75,"0.8","1,500.00",NA,NA,NA,"8000","0.0",80,"0.9","1,600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","8000","0.0",80,NA,"1,600.00",2025-10-28
"Most Improved Player","5230","Jalen","Green","Jalen Green","PHX","https://content.rotowire.com/images/teamlogo/basketball/100PHX.png?v=7","/betting/nba/player/jalen-green-odds-5230","7500","0.0",75,"0.8","1,500.00",NA,NA,NA,"7500","0.0",75,"0.9","1,500.00",NA,NA,NA,"7500","0.0",75,"0.8","1,500.00",NA,NA,NA,"8000","0.0",80,"0.9","1,600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","8000","0.0",80,NA,"1,600.00",2025-10-28
"Most Improved Player","5120","Aaron","Nesmith","Aaron Nesmith","IND","https://content.rotowire.com/images/teamlogo/basketball/100IND.png?v=7","/betting/nba/player/aaron-nesmith-odds-5120","7500","0.0",75,"0.8","1,500.00",NA,NA,NA,"6000","0.0",60,"1.1","1,200.00",NA,NA,NA,"7500","0.0",75,"0.8","1,500.00",NA,NA,NA,"8000","0.0",80,"0.9","1,600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","8000","0.0",80,NA,"1,600.00",2025-10-28
